v11000,v21000,i1000,r1000
54,10,1725.0726040658276,0.00579685746352413
58,11,1852.8557599225555,0.005936781609195403
63,12,2012.5847047434656,0.0059624819624819626
67,13,2140.3678606001936,0.006073722297602895
71,14,2268.1510164569213,0.00617242851045668
77,15,2459.8257502420133,0.006097992916174735
81,16,2587.6089060987415,0.006183314627759073
84,17,2683.4462729912875,0.006335137085137085
87,18,2779.2836398838335,0.006476489028213166
91,19,2907.0667957405612,0.006535797535797536
94,20,3002.9041626331073,0.006660219213410703
99,21,3162.633107454017,0.006640036730945822
102,22,3258.470474346563,0.006751633986928105
104,23,3322.362052274927,0.006922785547785549
108,24,3450.145208131655,0.006956228956228956
110,25,3514.036786060019,0.007114325068870524
115,26,3673.765730880929,0.007077206851119895
121,29,3865.440464666021,0.007502379163536189
124,30,3961.277831558567,0.007573313782991203
128,32,4089.060987415295,0.007825757575757576
131,34,4184.898354307841,0.008124450613000232
135,36,4312.681510164569,0.008347474747474748
139,38,4440.464666021297,0.00855766296054066
141,41,4504.356243949661,0.009102299591661294
137,50,4376.573088092933,0.011424463614244637
136,54,4344.627299128751,0.01242914438502674
132,58,4216.844143272023,0.013754361799816347
125,61,3993.223620522749,0.015275878787878788
120,79,3833.4946757018392,0.020607828282828283
113,99,3609.874152952565,0.02742477876106195
102,105,3258.470474346563,0.03222370766488414
100,124,3194.5788964181993,0.03881575757575758
94,135,3002.9041626331073,0.044956479690522244
89,138,2843.1752178121974,0.048537282941777324
83,146,2651.5004840271054,0.055063161737860536
78,157,2491.7715392061955,0.06300738150738151
77,160,2459.8257502420133,0.06504525777253051
75,166,2395.9341723136495,0.0692840404040404
73,172,2332.0425943852856,0.07375508509755085
72,177,2300.0968054211035,0.07695328282828283
71,184,2268.1510164569213,0.08112334613743065
70,189,2236.2052274927396,0.08451818181818181
69,192,2204.2594385285574,0.08710408432147564
68,197,2172.3136495643753,0.09068672014260251
64,203,2044.5304937076476,0.09928929924242424
62,209,1980.6389157792835,0.1055215053763441
59,215,1884.8015488867375,0.11407036466358501
57,228,1820.9099709583736,0.12521212121212122
53,234,1693.1268151016457,0.13820583190394511
49,238,1565.3436592449177,0.15204329004329004
41,241,1309.7773475314616,0.1840007390983001
34,250,1086.1568247821876,0.23016934046345813
30,271,958.3736689254598,0.28277070707070706
24,284,766.6989351403678,0.370419191919192
21,289,670.8615682478219,0.4307893217893218
17,293,543.0784123910938,0.5395169340463459
16,299,511.1326234269119,0.5849753787878788
15,318,479.1868344627299,0.6636242424242424
14,341,447.2410454985479,0.762452380952381
15,373,479.1868344627299,0.7784020202020202
16,390,511.1326234269119,0.7630113636363637
18,405,575.0242013552759,0.7043181818181818
21,415,670.8615682478219,0.6186075036075036
24,423,766.6989351403678,0.5517159090909092
27,430,862.5363020329138,0.49852974186307525
32,438,1022.2652468538238,0.4284602272727273
36,442,1150.0484027105517,0.38433164983164986
41,447,1309.7773475314616,0.34127937915742795
47,452,1501.4520813165536,0.3010419084461638
54,458,1725.0726040658276,0.26549607182940516
61,462,1948.6931268151016,0.23708196721311475
71,467,2268.1510164569213,0.20589457959880497
79,470,2523.717328170377,0.18623321825853473
85,473,2715.392061955469,0.1741921568627451
95,476,3034.8499515972894,0.15684465709728868
108,480,3450.145208131655,0.13912457912457912
118,483,3769.603097773475,0.12813020030816644
129,486,4121.006776379477,0.11793234672304441
147,490,4696.030977734753,0.10434343434343435
159,492,5079.380445304937,0.09686220697541452
174,495,5558.567279767667,0.08905172413793103
187,497,5973.862536302033,0.08319575433479177
204,500,6516.940948693126,0.07672311348781938
230,503,7347.531461761858,0.06845836627140976
249,506,7954.5014520813165,0.06361178045515395
260,507,8305.905130687319,0.06104090909090909
263,507,8401.742497579864,0.06034462495679226
